D,L,kappa,lambda,nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,1.000000e+00,1000,10000,100

exp_deltaH
9.903445e-01
1.003927e+00
9.955090e-01
9.964586e-01
1.004673e+00
1.019997e+00
9.949426e-01
1.004813e+00
1.002907e+00
1.028280e+00
9.957971e-01
9.938300e-01
1.001215e+00
1.004739e+00
1.005643e+00
1.014361e+00
9.717732e-01
1.000588e+00
9.973362e-01
9.896500e-01
9.772490e-01
1.005649e+00
1.012223e+00
1.006684e+00
1.004926e+00
1.002732e+00
9.984547e-01
9.917306e-01
1.036613e+00
9.894655e-01
9.937262e-01
9.952980e-01
9.930655e-01
1.014398e+00
9.939515e-01
1.002178e+00
1.009241e+00
1.002840e+00
1.000023e+00
1.006929e+00
9.985272e-01
1.003987e+00
1.010987e+00
9.865382e-01
1.008922e+00
1.006455e+00
1.028521e+00
1.006716e+00
1.006111e+00
9.911814e-01
1.000055e+00
9.995373e-01
9.902242e-01
1.018994e+00
9.988257e-01
1.011411e+00
9.883502e-01
9.874279e-01
1.000688e+00
9.744469e-01
1.023585e+00
9.806222e-01
1.016560e+00
1.004579e+00
1.002212e+00
9.892143e-01
1.011877e+00
1.014122e+00
9.943441e-01
1.000902e+00
9.969782e-01
9.848824e-01
9.959368e-01
9.853962e-01
1.006576e+00
1.026626e+00
9.851157e-01
9.819523e-01
1.014707e+00
1.021574e+00
9.850590e-01
1.000276e+00
9.731848e-01
1.009909e+00
9.925686e-01
9.912518e-01
9.911702e-01
1.001254e+00
9.960376e-01
9.951560e-01
1.016416e+00
1.008342e+00
1.012863e+00
9.905256e-01
1.004083e+00
1.014949e+00
9.919553e-01
9.969671e-01
1.010653e+00
9.936095e-01
